ID,Class,PC1,PC2,PC3,PC4,PC5
1,Low,0.735188,0.082182,0.390952,0.350629,-1.675012
2,Low,0.473040,0.241121,0.197482,-0.174906,1.448877
3,Medium,0.653759,0.634070,1.260081,1.084566,-0.177420
4,Low,0.437316,-2.747638,-1.669756,-1.487146,-1.013430
5,Medium,0.265002,0.973648,0.951520,1.182638,-0.055490
6,Low,0.590192,-1.324811,-1.310595,0.140095,-0.849727
7,Medium,1.062480,-0.495512,0.619148,0.602737,-0.949078
8,Medium,-0.328115,0.004765,1.494230,1.128272,-0.831664
9,Low,0.977899,-0.857964,0.314556,0.356492,-1.985482
10,Low,0.613833,-0.793450,-0.909764,-1.003717,-0.619980
11,Medium,-0.995832,1.153701,1.281908,1.088297,0.355459
12,High,-0.338622,1.161912,1.071571,1.024338,-0.031781
13,Low,0.628017,-0.643308,-2.166826,-1.675827,-0.890371
14,Low,-0.910201,-0.172942,-1.047674,-0.957347,0.952125
15,Low,0.436265,0.646386,0.167717,0.686950,-0.304994
16,Low,0.690008,-0.780547,0.493144,-0.088028,-2.753188
17,Low,0.071674,-0.047433,0.405834,0.287202,-1.370187
18,Low,0.935871,-1.135960,-0.226169,-0.138130,-1.595419
19,Low,0.366394,-0.625713,-1.786830,-1.429582,-0.131696
20,Low,-0.251415,-2.000448,0.332415,0.131567,-1.007785
21,Low,-0.369093,-1.772303,0.270901,0.164080,-1.187857
22,Medium,0.724681,0.583632,0.273878,0.105983,-0.215805
23,Low,0.052762,-1.240942,-0.711333,-0.980798,-2.279017
24,Low,-3.193886,-2.698373,-0.471231,-1.477019,0.616254
25,High,-2.942770,1.170709,1.292822,1.314288,0.940271
26,Low,1.158618,-0.263262,0.521917,-0.074170,-1.772104
27,Medium,-0.574503,0.719697,1.209481,1.110683,0.844308
28,Medium,-3.862129,0.967197,1.442637,1.756143,0.892289
29,Medium,-1.309990,0.107987,-0.238075,1.102688,-0.442730
30,Low,0.653759,0.219421,-1.465372,-1.508466,0.825115
31,Medium,0.684229,0.488034,1.130108,0.877763,-0.102342
32,Medium,-1.556903,1.034643,-0.094212,-0.683386,-0.022185
33,Low,0.862848,0.062827,-0.532745,-1.371486,-0.608690
34,Medium,0.611731,0.981273,0.419725,0.580884,1.085345
35,Low,0.713123,-0.632751,-1.319525,-0.748412,0.438439
36,Low,0.263426,-1.708376,-1.190545,-0.898717,-1.716220
37,Medium,0.771437,1.146663,0.551681,0.864972,0.002088
38,Low,-0.111147,0.483342,0.449489,-0.090160,-1.236968
39,Low,0.821345,-1.124817,0.270901,-0.135998,-1.759686
40,Low,-1.780701,0.196547,-0.003926,1.338273,-0.483373
